"﻿Quarter","Annual percentage change"
"Jun-90",7.6
"Sep-90",5
"Dec-90",4.9
"Mar-91",4.5
"Jun-91",2.8
"Sep-91",2.2
"Dec-91",1
"Mar-92",0.8
"Jun-92",1
"Sep-92",1
"Dec-92",1.3
"Mar-93",1
"Jun-93",1.3
"Sep-93",1.5
"Dec-93",1.4
"Mar-94",1.3
"Jun-94",1.1
"Sep-94",1.8
"Dec-94",2.8
"Mar-95",4
"Jun-95",4.6
"Sep-95",3.5
"Dec-95",2.9
"Mar-96",2.2
"Jun-96",2
"Sep-96",2.4
"Dec-96",2.6
"Mar-97",1.8
"Jun-97",1.1
"Sep-97",1
"Dec-97",0.8
"Mar-98",1.3
"Jun-98",1.7
"Sep-98",1.7
"Dec-98",0.4
"Mar-99",-0.1
"Jun-99",-0.4
"Sep-99",-0.5
"Dec-99",0.5
"Mar-00",1.5
"Jun-00",2
"Sep-00",3
"Dec-00",4
"Mar-01",3.1
"Jun-01",3.2
"Sep-01",2.4
"Dec-01",1.8
"Mar-02",2.6
"Jun-02",2.8
"Sep-02",2.6
"Dec-02",2.7
"Mar-03",2.5
"Jun-03",1.5
"Sep-03",1.5
"Dec-03",1.6
"Mar-04",1.5
"Jun-04",2.4
"Sep-04",2.5
"Dec-04",2.7
"Mar-05",2.8
"Jun-05",2.8
"Sep-05",3.4
"Dec-05",3.2
"Mar-06",3.3
"Jun-06",4
"Sep-06",3.5
"Dec-06",2.6
"Mar-07",2.5
"Jun-07",2
"Sep-07",1.8
"Dec-07",3.2
"Mar-08",3.4
"Jun-08",4
"Sep-08",5.1
"Dec-08",3.4
"Mar-09",3
"Jun-09",1.9
"Sep-09",1.7
"Dec-09",2
"Mar-10",2
"Jun-10",1.7
"Sep-10",1.5
"Dec-10",4
"Mar-11",4.5
"Jun-11",5.3
"Sep-11",4.6
"Dec-11",1.8
"Mar-12",1.6
"Jun-12",1
"Sep-12",0.8
"Dec-12",0.9
"Mar-13",0.9
"Jun-13",0.7
"Sep-13",1.4
"Dec-13",1.6
"Mar-14",1.5
"Jun-14",1.6
"Sep-14",1
"Dec-14",0.8
"Mar-15",0.3
"Jun-15",0.4
"Sep-15",0.4
"Dec-15",0.1
"Mar-16",0.4
"Jun-16",0.4
"Sep-16",0.4
"Dec-16",1.3
"Mar-17",2.2
"Jun-17",1.7
"Sep-17",1.9
"Dec-17",1.6
"Mar-18",1.1
"Jun-18",1.5
"Sep-18",1.9
"Dec-18",1.9
"Mar-19",1.5
"Jun-19",1.7
"Sep-19",1.5
"Dec-19",1.9
"Mar-20",2.5
"Jun-20",1.5
"Sep-20",1.4
"Dec-20",1.4
"Mar-21",1.5
"Jun-21",3.3
"Sep-21",4.9
"Dec-21",5.9
"Mar-22",6.9
"Jun-22",7.3
"Sep-22",7.2